period_number,start_time,end_time,active_users,idle_users,users_with_requests,requests_completed,requests_launched,requests_completed_new,requests_completed_prior,requests_in_progress,requests_in_progress_new,requests_in_progress_prior,requests_per_second,input_tokens_per_second,output_tokens_per_second,ttft_avg,ttft_p50,ttft_p95,ttft_p99,avg_cache_hit_rate,working_set_blocks,users_added,users_completed,total_request_time,idle_time_pct,new_tokens_ingested,ttft_headroom_pct,rate_limited_users,rate_limit_events,admission_blocked_events,dispatch_delay_avg,dispatch_delay_max,in_flight_prefilling,in_flight_decoding
38,1775089329.9754224,1775089359.9754224,0,3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125484,0,0,0.0,100.0,0,0.0,48,48,0,0.0,0.0,0,0
39,1775089359.9754224,1775089389.9754224,0,2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124967,0,0,0.0,100.0,0,0.0,49,49,0,0.0,0.0,0,0
40,1775089389.9754224,1775089419.9754224,0,2,1,2,2,2,0,0,0,0,0.06666666666666667,7442.933333333333,13.2,0.5615679025650024,0.5615679025650024,0.6973002314567566,0.7093653273582459,0.9799311926605505,117643,0,0,4.464460611343384,92.5592323144277,4480,94.38432097434998,49,49,0,45.048686385154724,90.09728264808655,0,0
41,1775089419.9754224,1775089449.9754224,48,3,3,5,5,5,0,48,48,0,0.16666666666666666,13744.266666666666,64.53333333333333,0.8652662754058837,0.68015456199646,1.3461203098297119,1.3485098743438722,0.9914609532681261,118198,0,0,19.18783926963806,98.7458928581936,3520,91.34733724594118,0,0,0,204.15717828948542,360.5754728317261,17,31
42,1775089449.9754224,1775089479.9754224,47,4,14,32,5,5,27,47,26,21,1.0666666666666667,50793.2,351.9,8.576397323608399,10.904910564422607,13.698335909843442,15.301357512474059,0.8884174263748267,116963,0,0,315.89414739608765,79.35332369960211,169984,14.236026763916012,0,0,0,9.694767552037392,300.4162931442261,1,46
43,1775089479.9754224,1775089509.9754224,41,9,13,50,15,15,35,41,29,12,1.6666666666666667,45712.6,428.6666666666667,0.6663715094327927,0.6092506647109985,1.1751182079315186,1.3069793224334716,0.9829139629335698,116707,0,0,180.26588916778564,87.98227405548096,23424,93.33628490567207,0,0,0,0.012107594446702436,0.0971977710723877,1,40
44,1775089509.9754224,1775089539.9754224,40,10,6,39,5,5,34,40,33,7,1.3,19859.0,453.1666666666667,3.8713567654291787,4.0294013023376465,7.512645900249481,7.746434819698334,0.8017195056421279,114876,0,0,88.8805878162384,94.07462747891744,118080,61.28643234570822,0,0,0,0.31971022329832377,8.134858846664429,5,35
45,1775089539.9754224,1775089569.9754224,44,6,6,20,3,3,17,44,22,22,0.6666666666666666,18527.5,283.96666666666664,6.299692869186401,5.5136449337005615,12.630179643630981,12.740123796463013,0.7275973278046534,115332,0,0,102.6675055027008,93.15549963315328,151360,37.003071308135986,0,0,0,0.017029335101445515,0.10112881660461426,4,40
46,1775089569.9754224,1775089599.9754224,43,7,14,43,10,10,33,43,32,11,1.4333333333333333,42579.13333333333,404.53333333333336,3.536238125392369,0.6848154067993164,12.488936603069305,12.495865094661713,0.8968472758257732,115861,0,0,304.00289964675903,79.7331400235494,131712,64.63761874607631,0,0,0,0.011690270333063035,0.08848381042480469,4,39
47,1775089599.9754224,1775089629.9754224,43,6,5,27,2,2,25,43,25,18,0.9,12448.866666666667,295.26666666666665,2.030891227722168,0.9873530864715576,5.293953275680541,6.144485540390014,0.6007200411452083,115307,0,0,123.67537546157837,91.58670915227358,149056,79.69108772277832,0,0,0,0.010073114324499059,0.07950520515441895,1,42
48,1775089629.9754224,1775089659.9754224,39,9,11,40,10,10,30,39,26,13,1.3333333333333333,33295.1,341.93333333333334,3.0988044955513696,1.3352584838867188,7.552216529846191,7.7753908157348635,0.8504678887322138,115749,0,0,232.62885904312134,83.84521812200546,149312,69.0119550444863,0,0,0,0.013034608629014757,0.09475445747375488,2,37
49,1775089659.9754224,1775089689.9754224,36,10,13,41,14,14,27,36,24,12,1.3666666666666667,47346.166666666664,368.6666666666667,2.9607879479726154,1.4940338134765625,6.172710728645325,6.216112389564514,0.9122791200865489,115021,0,0,211.92429852485657,84.64316677356112,124544,70.39212052027383,0,0,0,0.2473183744832089,5.385426044464111,0,36
