period_number,start_time,end_time,active_users,idle_users,users_with_requests,requests_completed,requests_launched,requests_completed_new,requests_completed_prior,requests_in_progress,requests_in_progress_new,requests_in_progress_prior,requests_per_second,input_tokens_per_second,output_tokens_per_second,ttft_avg,ttft_p50,ttft_p95,ttft_p99,avg_cache_hit_rate,working_set_blocks,users_added,users_completed,total_request_time,idle_time_pct,new_tokens_ingested,ttft_headroom_pct,rate_limited_users,rate_limit_events,admission_blocked_events,dispatch_delay_avg,dispatch_delay_max,in_flight_prefilling,in_flight_decoding
47,1775084463.8770206,1775084493.8770206,43,12,16,44,12,12,32,43,31,12,1.4666666666666666,51893.46666666667,426.0,3.4589540428585477,3.6315202713012695,7.163183724880217,7.710266978740691,0.830735699305013,111870,0,0,291.53076696395874,82.33146866885099,263424,65.41045957141452,0,0,0,0.009684972984846248,0.08003997802734375,6,37
48,1775084493.8770206,1775084523.8770206,53,7,1,20,0,0,20,53,30,23,0.6666666666666666,4627.633333333333,260.3,7.471913576126099,7.471913576126099,7.471913576126099,7.471913576126099,0.016597510373443983,116662,5,0,32.56037878990173,98.19109006722768,136512,25.280864238739014,0,0,0,0.051343011856079104,0.35743284225463867,6,47
49,1775084523.8770206,1775084553.8770206,51,9,12,39,9,9,30,51,28,23,1.3,36360.5,416.5,7.478450099627177,8.980576515197754,11.169639647006989,11.369933712482453,0.8855499471768987,112564,0,0,217.82454824447632,87.8986362086402,124800,25.215499003728226,0,0,0,0.014236359982877164,0.09715652465820312,6,45
50,1775084553.8770206,1775084583.8770206,51,8,17,46,12,12,34,51,34,17,1.5333333333333334,50073.566666666666,450.3333333333333,5.876297572079827,5.591619968414307,12.606044149398803,12.622897024154662,0.8978478585126785,112998,0,0,314.43660140037537,82.2352202598658,153408,41.23702427920173,0,0,0,0.0309500383294147,0.5626859664916992,5,46
51,1775084583.8770206,1775084613.8770206,47,10,20,56,19,19,37,47,33,14,1.8666666666666667,73066.93333333333,512.0,2.2464539486428965,1.842433214187622,6.401645874977106,6.857240967750549,0.9332340313677385,112655,0,0,347.91140151023865,79.6543040052492,146304,77.53546051357102,0,0,0,0.021627499507023737,0.28496313095092773,7,40
52,1775084613.8770206,1775084643.8770206,42,14,18,48,12,12,36,42,31,11,1.6,65971.1,407.1,4.201852221237986,2.6255409717559814,8.716383004188538,8.765454297065736,0.9089350414078675,108605,0,0,313.34986662864685,81.3482222244853,180160,57.981477787620136,0,0,0,0.010004520416259766,0.09372925758361816,0,42
53,1775084643.8770206,1775084673.8770206,51,7,5,29,5,5,24,51,33,18,0.9666666666666667,17472.5,258.06666666666666,9.227747392654418,11.537009954452515,14.402387809753417,14.972180213928223,0.9752076209086468,116279,4,0,95.94857692718506,94.48571396970202,12992,7.7225260734558185,0,0,0,24.835554486826847,939.6463181972504,10,41
54,1775084673.8770206,1775084703.8770206,52,6,8,30,5,5,25,52,26,26,1.0,25144.433333333334,260.1666666666667,2.9567025303840637,2.8592852354049683,5.579151892662048,5.894651370048523,0.941356191122804,119002,0,0,159.3884825706482,90.83974238099724,44224,70.43297469615936,0,0,0,0.024082752966111707,0.14044737815856934,7,45
55,1775084703.8770206,1775084733.8770206,43,15,20,52,15,14,38,43,29,14,1.7333333333333334,69607.46666666666,493.03333333333336,5.300713647495616,3.7054868936538696,11.256519854068756,11.381467423439025,0.9892387405340773,122116,0,0,409.5694706439972,76.46152467563235,22464,46.99286352504384,0,0,0,0.008388589728962292,0.08027958869934082,1,42
56,1775084733.8770206,1775084763.8770206,42,15,15,66,32,32,34,42,32,10,2.2,105271.43333333333,541.8333333333334,0.7032670252250902,0.633249044418335,1.1319035053253172,1.416993064880371,0.9943846418942205,122871,0,0,266.90753722190857,84.39137209228605,17728,92.9673297477491,0,0,0,0.015739976442777193,0.3748457431793213,6,36
57,1775084763.8770206,1775084793.8770206,48,10,10,38,11,11,27,48,34,14,1.2666666666666666,48986.76666666667,474.56666666666666,2.6314889272054036,2.2447404861450195,6.3990964651107785,6.812833971977233,0.9053365279895448,123878,0,0,204.02478003501892,88.2744379290219,139072,73.68511072794597,0,0,0,0.028733046849568684,0.10109758377075195,3,45
58,1775084793.8770206,1775084823.8770206,42,14,27,67,27,27,40,42,33,9,2.2333333333333334,90313.26666666666,639.5,1.2645137071609498,0.9876117706298828,2.703438830375671,3.559007444381715,0.9950614366729679,124466,0,0,427.8761239051819,74.53118310088203,13376,87.3548629283905,0,0,0,0.01309679766170314,0.09331631660461426,3,39
59,1775084823.8770206,1775084853.8770206,8,19,21,60,22,22,38,8,4,4,2.0,75821.63333333333,751.4333333333333,0.7146432858247024,0.6347229480743408,1.2361076474189758,1.9531490206718445,0.974049368121816,125263,0,0,298.6153573989868,63.13390649395225,59008,92.85356714175296,29,29,0,0.0023292761582594653,0.04745817184448242,1,7
60,1775084853.8770206,1775084883.8770206,0,9,2,9,1,1,8,0,0,0,0.3,6519.733333333334,209.2,2.519331693649292,2.519331693649292,4.328311729431152,4.489109954833984,1.0,127082,0,0,33.513875246047974,87.58745361257483,0,74.80668306350708,46,46,0,1311.3657159805298,1311.3657159805298,0,0
61,1775084883.8770206,1775084913.8770206,0,2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127082,0,0,0.0,100.0,0,0.0,53,53,0,0.0,0.0,0,0
62,1775084913.8770206,1775084943.8770206,0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127082,0,0,0.0,100.0,0,0.0,54,54,0,0.0,0.0,0,0
63,1775084943.8770206,1775084973.8770206,0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127082,0,0,0.0,100.0,0,0.0,54,54,0,0.0,0.0,0,0
64,1775084973.8770206,1775085003.8770206,0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127082,0,0,0.0,100.0,0,0.0,54,54,0,0.0,0.0,0,0
65,1775085003.8770206,1775085033.8770206,0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127082,0,0,0.0,100.0,0,0.0,54,54,0,0.0,0.0,0,0
66,1775085033.8770206,1775085063.8770206,0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,121327,0,0,0.0,100.0,0,0.0,54,54,0,0.0,0.0,0,0
67,1775085063.8770206,1775085093.8770206,52,2,7,11,11,11,0,52,52,0,0.36666666666666664,37400.2,158.36666666666667,0.6139290983026678,0.6249539852142334,0.8496671915054321,0.9049340486526489,0.9827114002054091,124529,0,0,56.27528166770935,96.52621718100559,19392,93.86070901697332,1,0,0,185.98034918497478,240.48173069953918,7,45
68,1775085093.8770206,1775085123.8770206,47,8,26,54,18,18,36,47,31,16,1.8,106879.6,627.5666666666667,6.329086226801718,5.682971477508545,10.135509252548218,10.460307097434997,0.9937705899970051,122923,0,0,558.1749818325043,66.17121322227246,19968,36.70913773198282,0,0,0,4.9352337438233045,241.49366450309753,4,43
69,1775085123.8770206,1775085153.8770206,37,18,17,54,19,19,35,37,25,12,1.8,66615.86666666667,586.4,0.9400206912647594,0.6604040861129761,3.133779716491699,3.1666936182975767,0.9956429807137823,123178,0,0,244.38068151474,85.18904960516728,8704,90.5997930873524,0,0,0,0.008523296226154674,0.09941363334655762,3,34
